Device,Total Mesaages,Short Messages,SlowAtNight,StopAtNight,NumberOfClusters,Device2,WZ,AverageMinDay
"1,019 - I-380 SB @ MM 18.9 - SS1019",5,0,1,0,0,I-380 SB @ MM 18.9 - SS1019,6gh,0.967741935
"1,021 - I-29 SB @ MM 48.92 - SS1021",419,32,7,74,9,I-29 SB @ MM 48.92 - SS1021,4.1,4.658181818
"1,024 - SS1024",212,135,12,2,3,SS1024,1r,3.581699346
"1,025 - US 30 EB @ MM 251.4 - SS1025",123,0,45,0,37,US 30 EB @ MM 251.4 - SS1025,6gh,94.86486486
"1,026 - I-380 NB @ US 30 - SS1026",13,0,4,0,3,I-380 NB @ US 30 - SS1026,6gh,0.189189189
"1,041 - I-80 WB @ MM 213.4 - SS1041",43,16,5,0,2,I-80 WB @ MM 213.4 - SS1041,6a,5.157894737
"1,043 - I-80 EB @ MM 210.5 - SS1043",60,28,3,0,1,I-80 EB @ MM 210.5 - SS1043,6a,1.736842105
"1,046 - I-35 SB @ N of IA 92 - SS1046",336,10,96,0,6,I-35 SB @ N of IA 92 - SS1046,5b,95.23770492
"1,070 - SS1070",15,1,0,1,0,SS1070,1c,1.218181818
"1,369 - SS1369",6,0,0,0,0,SS1369,1c,0
"1,380 - SS1380",9,0,0,0,0,SS1380,1c,0
"1,423 - SS1423",16,6,3,0,0,SS1423,5d,0.103448276
"1,457 - SS1457",89,73,1,0,0,SS1457,1r,0.464052288
"1,480 - I-35 NB @ Welcome MO - SS1480",14,2,5,2,0,I-35 NB @ Welcome MO - SS1480,5d,0.7
"1,480 - SS1480",173,16,54,9,0,SS1480,5d,30.34586466
"1,707 - SS1707",104,94,3,0,0,SS1707,1.3,0.463917526
"1,718 - I-35 NB @ Eagleville MO - SS1718",14,2,2,0,0,I-35 NB @ Eagleville MO - SS1718,5d,0.433333333
"1,721 - I-80 WB @ MM 304 - SS1721",247,11,6,0,37,I-80 WB @ MM 304 - SS1721,6d,122.754386
"1,801 - I-80 EB @ MM 209.5 - SS1801",1,0,0,0,0,I-80 EB @ MM 209.5 - SS1801,6a,0
"1,828 - I-74 NB @ S of I-80 - SS1828",140,24,32,1,14,I-74 NB @ S of I-80 - SS1828,6c,6.473684211
"1,829 - SS1829",14,0,0,0,1,SS1829,1c,7.215686275
"1,831 - US 34 WB @ MM 264 IL - SS1831",749,5,0,0,173,US 34 WB @ MM 264 IL - SS1831,5f,0
"1,836 - I-35 SB @ N of IA 2 - SS1836",52,2,14,0,9,I-35 SB @ N of IA 2 - SS1836,5d,8.533333333
"1,839 - I-80 WB @ 2nd Ave IL - SS1839",47,10,0,0,6,I-80 WB @ 2nd Ave IL - SS1839,6d,19.59649123
