ID,period,IWZ,Direction,1. number of days,2. number of events,3. number of daytime events,4. number of days when events happened,5. average duration of each event,6. median duration of each event,7. average queue length,8. average maximum queue length of each event,9. median maximum queue length of each event,10. max maximum queue length of each event,11.percentage of queue > 1 mile,12.amount of traffic that encounters a queue,13.total traffic per day,14.percentage of traffic that encounters a queue,15.percentage of time that encounters a queue,16.total delay,17.total delay per day,18.average delay per vehicle,19.maximum delay,20.total delay when queue is present,21.percentage of delay caused by queue,22.avg delay when queue is present,23.percent of vehicles experiencing delay > 5 min,24.percent of vehicles experiencing delay > 10 min,25.percent of vehicles in queue experiencing delay > 5 min,26.percent of vehicles in queue experiencing delay > 10 min
3,2016-05-16 to 2016-05-22,Group 5 - 4.1 - I29,1,7,2,0,1,5,5,0.6,0.6,0.6,1,0,32,18972.42857,0.000235,0.000992,2424.127713,346.303959,1.095186,2.946342,1.238005,0.000511,2.3787,0,0,0,0
4,2016-05-16 to 2016-05-22,Group 5 - 4.1 - I29,2,7,7,0,4,6.428571,5,0.522222,0.571429,0.2,1.7,0.222222,90,15990.85714,0.000797,0.004464,1988.468709,284.066958,1.065869,4.155796,3.827832,0.001925,2.57593,0,0,0,0
5,2016-05-16 to 2016-05-22,Group 5 - 4.1 - I80,1,7,2,0,2,5,5,0.2,0.2,0.2,0.3,0,80,22581.57143,0.000503,0.000992,1694.839205,242.119886,0.643321,2.39137,1.831514,0.001081,1.381695,0,0,0,0
6,2016-05-16 to 2016-05-22,Group 5 - 4.1 - I80,2,7,2,0,2,7.5,7.5,0.2,0.2,0.2,0.3,0,51,27952.85714,0.000259,0.001488,1809.031654,258.433093,0.554721,2.275738,1.598746,0.000884,1.890144,0,0,0,0
7,2016-05-16 to 2016-05-22,Group 5b and 5.4,1,7,3,2,2,11.666667,5,0.585714,0.5,0.5,0.7,0,603,10748.28571,0.008006,0.003472,512.17619,73.168027,0.40845,1.63921,12.714108,0.024824,1.266486,0,0,0,0
8,2016-05-16 to 2016-05-22,Group 5b and 5.4,2,7,3,1,3,5,5,0.133333,0.133333,0.1,0.2,0,123,10069.71429,0.00174,0.001488,468.590831,66.941547,0.39887,0.842822,1.464427,0.003125,0.716296,0,0,0,0
9,2016-05-16 to 2016-05-22,Group 5f,2,7,225,129,7,10.844444,5,0.866189,0.712,0.6,2.9,0.39959,10760,5183.142857,0.296551,0.242063,766.421046,109.488721,1.267466,5.938592,361.046552,0.471081,2.013411,0.004506,0,0,0
10,2016-05-16 to 2016-05-22,Group 5f,1,7,18,7,6,7.222222,5,0.392308,0.394444,0.35,0.9,0,380,6934.714286,0.007813,0.012897,370.711928,52.958847,0.458206,3.936095,5.724213,0.015441,0.90561,0,0,0,0
11,2016-05-16 to 2016-05-22,Group 6 - 3.2 3a 3b - I29,1,7,81,70,7,15.740741,10,0.711765,0.691358,0.7,2,0.211765,14828,11791.28571,0.17964,0.126488,1749.823758,249.974823,1.271998,9.098497,503.484054,0.287734,2.037389,0.003409,0,0,0
12,2016-05-16 to 2016-05-22,Group 6 - 3.2 3a 3b - I29,2,7,230,120,7,11.543478,10,0.564595,0.563478,0.6,1.3,0.112994,18475,12886.85714,0.204799,0.263393,3333.008446,476.144064,2.216885,15.278752,832.697509,0.249834,2.704369,0.003251,0.000661,0.003227,0.003227
13,2016-05-16 to 2016-05-22,Group 6 - 3.2 3a 3b - US20,1,7,1,0,1,5,5,0.2,0.2,0.2,0.2,0,4,10846.14286,0.000044,0.000496,153.69132,21.955903,0.121459,0.693018,0.038501,0.000251,0.693018,0,0,0,0
14,2016-05-16 to 2016-05-22,Group 6 - 3.2 3a 3b - US20,2,7,1,0,1,5,5,0.1,0.1,0.1,0.1,0,4,10127.71429,0.000049,0.000496,60.286854,8.612408,0.051023,0.727459,0.035351,0.000586,0.606017,0,0,0,0
15,2016-05-16 to 2016-05-22,Group 6a,2,7,2,2,2,15,15,1.2,2,2,3.6,0.333333,526,12194.42857,0.006159,0.002976,25.690913,3.67013,0.018058,6.389364,17.238654,0.671002,1.967321,0.000876,0,0,0
16,2016-05-16 to 2016-05-22,Group 6a,1,7,0,0,0,0,0,0,0,0,0,0,0,11910.42857,0,0,1.40841,0.201201,0.001014,0.546279,0,0,0,0,0,0,0
17,2016-05-16 to 2016-05-22,Group 6c,1,7,0,0,0,0,0,0,0,0,0,0,0,14864.57143,0,0,315.641344,45.091621,0.182011,0.694228,0,0,0,0,0,0,0
18,2016-05-16 to 2016-05-22,Group 6c,2,7,27,27,7,97.407407,55,0.384601,0.4,0.4,0.5,0,42541,15319.42857,0.3967,0.260913,878.51965,125.502807,0.491544,1.535737,648.086398,0.737703,0.914074,0,0,0,0
19,2016-05-16 to 2016-05-22,Group 6d,2,7,16,16,6,58.75,25,1.680851,1.41875,1.05,4,0.595745,19249,17403.71429,0.158001,0.093254,1595.928822,227.989832,0.786009,10.452298,1028.056892,0.644175,3.204571,0.03197,0.001617,0.010235,0.010235
20,2016-05-16 to 2016-05-22,Group 6d,1,7,13,13,4,59.230769,20,1.342208,0.930769,0.5,3.6,0.474026,15606,15652.57143,0.142426,0.076389,1057.362183,151.05174,0.579017,18.413141,817.425512,0.77308,3.142879,0.026322,0.010643,0.074727,0.074727
21,2016-05-16 to 2016-05-22,Group 6e,1,7,33,8,6,23.333333,5,1.049351,0.775758,0.6,6.5,0.331169,11488,25485.57143,0.064394,0.076389,691.618076,98.802582,0.232609,15.007258,498.740437,0.721121,2.604875,0.008798,0.002984,0.046347,0.046347
22,2016-05-16 to 2016-05-22,Group 6e,2,7,5,5,3,25,25,0.932,1.02,0.5,3.6,0.2,3717,26712.85714,0.019875,0.012401,109.787595,15.683942,0.035228,5.841296,93.520052,0.851827,1.509837,0.002785,0,0,0
23,2016-05-16 to 2016-05-22,Group 8 - 6.2 - I74,1,7,168,44,7,36.160714,7.5,0.847737,0.348214,0.2,1.8,0.457613,103183,19122.71429,0.77083,0.602679,3670.725221,524.389317,1.64534,3.966742,3319.740752,0.904383,1.930409,0,0,0,0
24,2016-05-16 to 2016-05-22,Group 8 - 6.2 - I74,2,7,154,63,7,52.012987,15,0.47784,0.306494,0.2,1.5,0.128589,101550,17155.57143,0.845619,0.794643,4181.386082,597.340869,2.089145,7.961638,3980.104482,0.951862,2.351625,0.030069,0,0,0
3,2016-05-23 to 2016-05-29,Group 5 - 4.1 - I29,1,7,13,0,5,40,5,0.353846,0.361538,0.3,1.4,0.009615,32256,25661.85714,0.179566,0.051587,6348.44031,906.920044,2.120478,15.223768,3967.027699,0.624882,7.379185,0.081199,0.081199,0.452197,0.452197
4,2016-05-23 to 2016-05-29,Group 5 - 4.1 - I29,2,7,13,2,4,33.076923,5,0.765116,0.815385,0.3,3.5,0.093023,10238,19870.57143,0.073604,0.042659,4245.509159,606.501308,1.831358,81.494948,1656.944637,0.390282,9.710708,0.032104,0.03162,0.429595,0.429595
5,2016-05-23 to 2016-05-29,Group 5 - 4.1 - I80,1,7,4,2,3,11.25,5,0.266667,0.275,0.2,0.5,0,337,23997.71429,0.002003,0.004464,1906.919081,272.417012,0.681108,2.523545,7.612533,0.003992,1.357765,0,0,0,0
6,2016-05-23 to 2016-05-29,Group 5 - 4.1 - I80,2,7,5,0,3,5,5,0.24,0.24,0.3,0.4,0,165,28226.85714,0.000833,0.00248,1858.612367,265.516052,0.564392,2.146418,4.405112,0.00237,1.606728,0,0,0,0
7,2016-05-23 to 2016-05-29,Group 5b and 5.4,1,7,4,1,3,6.25,5,0.42,0.5,0.45,1,0,183,11224.57143,0.002325,0.00248,548.027086,78.289584,0.418492,1.324612,2.877055,0.00525,0.945018,0,0,0,0
8,2016-05-23 to 2016-05-29,Group 5b and 5.4,2,7,9,1,5,7.222222,5,0.423077,0.466667,0.4,1.3,0.076923,241,11551.42857,0.002976,0.006448,538.258892,76.894127,0.399404,1.68204,3.996942,0.007426,0.996468,0,0,0,0
9,2016-05-23 to 2016-05-29,Group 5f,2,7,165,94,6,10.727273,5,0.811582,0.811515,0.7,1.9,0.364407,7088,5776.142857,0.175285,0.175595,605.704288,86.529184,0.898832,10.435195,229.854876,0.379484,1.94593,0.003135,0.001465,0.00836,0.00836
10,2016-05-23 to 2016-05-29,Group 5f,1,7,5,2,3,7,5,0.714286,0.84,0.4,2.7,0.142857,69,8158.857143,0.001199,0.003472,408.280982,58.325855,0.428927,3.986009,1.100657,0.002696,0.964079,0,0,0,0
11,2016-05-23 to 2016-05-29,Group 6 - 3.2 3a 3b - I29,1,7,131,94,7,17.977099,10,0.704246,0.758015,0.8,2.8,0.167728,24591,12320,0.285138,0.233631,1614.236993,230.605285,1.123086,15.930981,755.932537,0.468291,1.844478,0.005139,0.00005,0.000176,0.000176
12,2016-05-23 to 2016-05-29,Group 6 - 3.2 3a 3b - I29,2,7,239,118,7,20.439331,10,0.706448,0.842259,0.8,2.5,0.144319,46373,13023.57143,0.508666,0.484623,3471.536641,495.933806,2.284804,16.117251,2234.462028,0.643652,2.891127,0.003912,0.001028,0.002021,0.002021
13,2016-05-23 to 2016-05-29,Group 6 - 3.2 3a 3b - US20,1,7,4,0,2,6.25,5,0.34,0.4,0.45,0.5,0,74,9329.428571,0.001133,0.00248,103.205431,14.743633,0.094821,1.162608,1.057498,0.010247,0.85743,0,0,0,0
14,2016-05-23 to 2016-05-29,Group 6 - 3.2 3a 3b - US20,2,7,9,0,4,5.555556,5,0.28,0.3,0.2,1,0,112,8954.428571,0.001779,0.00496,57.95969,8.279956,0.055481,1.531237,1.051423,0.018141,0.565788,0,0,0,0
15,2016-05-23 to 2016-05-29,Group 6a,2,7,0,0,0,0,0,0,0,0,0,0,0,14801.42857,0,0,11.805915,1.686559,0.006837,2.84462,0,0,0,0,0,0,0
16,2016-05-23 to 2016-05-29,Group 6a,1,7,0,0,0,0,0,0,0,0,0,0,0,15107.42857,0,0,1.093182,0.156169,0.00062,0.337628,0,0,0,0,0,0,0
17,2016-05-23 to 2016-05-29,Group 6c,1,7,1,0,1,5,5,0.3,0.3,0.3,0.3,0,5,14431.28571,0.000049,0.000496,339.468588,48.495513,0.201627,1.126626,0.069925,0.000206,0.839101,0,0,0,0
18,2016-05-23 to 2016-05-29,Group 6c,2,7,36,32,7,75.972222,30,0.404936,0.461111,0.4,1,0,41142,14833.71429,0.396219,0.271329,920.69867,131.528381,0.532013,2.525801,670.438989,0.728185,0.977752,0,0,0,0
19,2016-05-23 to 2016-05-29,Group 6d,2,7,23,21,5,45.869565,10,1.647393,1.273913,1,3.9,0.744076,21075,18477,0.162941,0.104663,1415.368305,202.195472,0.656588,7.683286,1053.7078,0.744476,2.999941,0.026195,0,0,0
20,2016-05-23 to 2016-05-29,Group 6d,1,7,19,19,4,46.578947,10,1.20904,0.852632,0.4,2.4,0.468927,16496,17074.42857,0.138014,0.087798,837.186387,119.598055,0.420272,6.600301,657.705806,0.785615,2.3923,0.011347,0,0,0
21,2016-05-23 to 2016-05-29,Group 6e,1,7,96,15,7,13.229167,5,0.587402,0.421875,0.3,4.5,0.129921,19694,25575.71429,0.110002,0.125992,1053.233479,150.461926,0.35298,8.323501,584.529507,0.554986,1.780874,0.009901,0,0,0
22,2016-05-23 to 2016-05-29,Group 6e,2,7,5,5,3,14,5,1.142857,0.74,0.2,2.7,0.428571,2468,27036.57143,0.013039,0.006944,134.603308,19.229044,0.042674,5.150049,88.538721,0.657775,2.15273,0.001126,0,0,0
23,2016-05-23 to 2016-05-29,Group 8 - 6.2 - I74,1,7,81,17,7,86.975309,10,0.835628,0.444444,0.2,2.2,0.403123,122560,19849.85714,0.882045,0.698909,4137.267269,591.038181,1.78653,7.324606,3923.42314,0.948313,1.92075,0.009098,0,0,0
24,2016-05-23 to 2016-05-29,Group 8 - 6.2 - I74,2,7,78,36,7,121.987179,22.5,0.56474,0.419231,0.3,1.7,0.248029,111855,16696.42857,0.957047,0.943948,5544.756702,792.1081,2.846515,10.706827,5487.87588,0.989742,2.943757,0.174678,0.002569,0.002685,0.002685
3,2016-05-30 to 2016-06-05,Group 5 - 4.1 - I29,1,7,7,3,4,12.857143,5,0.455556,0.414286,0.2,0.9,0,1707,18705.71429,0.013034,0.008929,1911.691522,273.098789,0.875986,2.797283,48.363724,0.025299,1.700227,0,0,0,0
4,2016-05-30 to 2016-06-05,Group 5 - 4.1 - I29,2,7,8,0,5,6.875,5,0.4,0.5,0.4,1.4,0.090909,178,16025.28571,0.00158,0.005456,2047.71863,292.531233,1.095266,3.418899,7.057259,0.003446,2.389591,0,0,0,0
5,2016-05-30 to 2016-06-05,Group 5 - 4.1 - I80,1,7,3,0,2,5,5,0.166667,0.166667,0.1,0.3,0,36,22592.71429,0.000227,0.001488,1638.23026,234.032894,0.62153,2.473127,1.10608,0.000675,1.850319,0,0,0,0
